Tanggal;Provinsi;Gejala Positif;Total
2021-04-27;DKI JAKARTA;Tidak ada;203103
2021-04-30;DKI JAKARTA;Tidak ada;204310
2021-05-01;DKI JAKARTA;Tidak ada;204773
2021-05-02;DKI JAKARTA;Tidak ada;205200
2021-05-04;DKI JAKARTA;Tidak ada;205787
2021-05-06;DKI JAKARTA;Tidak ada;206662
2021-05-08;DKI JAKARTA;Tidak ada;207419
2021-05-10;DKI JAKARTA;Tidak ada;208171
2021-05-13;DKI JAKARTA;Tidak ada;209094
2021-05-14;DKI JAKARTA;Tidak ada;209410
2021-05-16;DKI JAKARTA;Tidak ada;209604
2021-05-19;DKI JAKARTA;Tidak ada;210230
2021-05-25;DKI JAKARTA;Tidak ada;212606
2021-05-26;DKI JAKARTA;Tidak ada;212915
2021-05-29;DKI JAKARTA;Tidak ada;214135
2021-05-31;DKI JAKARTA;Tidak ada;215030
2021-06-02;DKI JAKARTA;Tidak ada;215590
2021-06-10;DKI JAKARTA;Tidak ada;220277
2021-06-12;DKI JAKARTA;Tidak ada;222651
2021-06-13;DKI JAKARTA;Tidak ada;224036
2021-03-24;GORONTALO;Tidak ada;2538
2021-03-28;GORONTALO;Tidak ada;2560
2021-04-07;GORONTALO;Tidak ada;2613
2021-04-12;GORONTALO;Tidak ada;2629
2021-04-15;GORONTALO;Tidak ada;2649
2021-04-16;GORONTALO;Tidak ada;2652
2021-04-17;GORONTALO;Tidak ada;2658
2021-04-18;GORONTALO;Tidak ada;2662
2021-04-19;GORONTALO;Tidak ada;2662
2021-04-20;GORONTALO;Tidak ada;2666
2021-04-21;GORONTALO;Tidak ada;2666
2021-04-22;GORONTALO;Tidak ada;2669
2021-04-23;GORONTALO;Tidak ada;2670
2021-04-24;GORONTALO;Tidak ada;2673
2021-04-25;GORONTALO;Tidak ada;2673
2021-04-26;GORONTALO;Tidak ada;2678
2021-04-27;GORONTALO;Tidak ada;2678
2021-04-30;GORONTALO;Tidak ada;2697
2021-05-01;GORONTALO;Tidak ada;2700
2021-05-02;GORONTALO;Tidak ada;2700
2021-05-04;GORONTALO;Tidak ada;2704
2021-05-06;GORONTALO;Tidak ada;2711
2021-05-08;GORONTALO;Tidak ada;2712
2021-05-10;GORONTALO;Tidak ada;2712
2021-05-13;GORONTALO;Tidak ada;2716
2021-05-14;GORONTALO;Tidak ada;2717
2021-05-16;GORONTALO;Tidak ada;2718
2021-05-19;GORONTALO;Tidak ada;2725
2021-05-25;GORONTALO;Tidak ada;2736
2021-05-26;GORONTALO;Tidak ada;2737
2021-05-29;GORONTALO;Tidak ada;2746
2021-05-31;GORONTALO;Tidak ada;2753
2021-06-02;GORONTALO;Tidak ada;2755
2021-06-10;GORONTALO;Tidak ada;2772
2021-06-12;GORONTALO;Tidak ada;2777
2021-06-13;GORONTALO;Tidak ada;2779
2021-03-24;JAMBI;Tidak ada;2986
2021-03-28;JAMBI;Tidak ada;3066
2021-04-07;JAMBI;Tidak ada;3256
2021-04-12;JAMBI;Tidak ada;3323
2021-04-15;JAMBI;Tidak ada;3393
2021-04-16;JAMBI;Tidak ada;3419
2021-04-17;JAMBI;Tidak ada;3453
2021-04-18;JAMBI;Tidak ada;3477
2021-04-19;JAMBI;Tidak ada;3490
2021-04-20;JAMBI;Tidak ada;3527
2021-04-21;JAMBI;Tidak ada;3555
2021-04-22;JAMBI;Tidak ada;3598
2021-04-23;JAMBI;Tidak ada;3620
2021-04-24;JAMBI;Tidak ada;3652
2021-04-25;JAMBI;Tidak ada;3667
2021-04-26;JAMBI;Tidak ada;3688
2021-04-27;JAMBI;Tidak ada;3704
2021-04-30;JAMBI;Tidak ada;3835
2021-05-01;JAMBI;Tidak ada;3865
2021-05-02;JAMBI;Tidak ada;3904
2021-05-04;JAMBI;Tidak ada;3970
2021-05-06;JAMBI;Tidak ada;4063
2021-05-08;JAMBI;Tidak ada;4151
2021-05-10;JAMBI;Tidak ada;4224
2021-05-13;JAMBI;Tidak ada;4293
2021-05-14;JAMBI;Tidak ada;4325
2021-05-16;JAMBI;Tidak ada;4336
2021-05-19;JAMBI;Tidak ada;4371
2021-05-25;JAMBI;Tidak ada;4573
2021-05-26;JAMBI;Tidak ada;4611
2021-05-29;JAMBI;Tidak ada;4719
2021-05-31;JAMBI;Tidak ada;4806
2021-06-02;JAMBI;Tidak ada;4882
2021-06-10;JAMBI;Tidak ada;5323
2021-06-12;JAMBI;Tidak ada;5441
2021-06-13;JAMBI;Tidak ada;5508
2021-03-24;JAWA BARAT;Tidak ada;121875
2021-03-28;JAWA BARAT;Tidak ada;123394
2021-04-07;JAWA BARAT;Tidak ada;127615
2021-04-12;JAWA BARAT;Tidak ada;130025
2021-04-15;JAWA BARAT;Tidak ada;132144
2021-04-16;JAWA BARAT;Tidak ada;132643
2021-04-17;JAWA BARAT;Tidak ada;133059
2021-04-18;JAWA BARAT;Tidak ada;133444
2021-04-19;JAWA BARAT;Tidak ada;134154
2021-04-20;JAWA BARAT;Tidak ada;134854
2021-04-21;JAWA BARAT;Tidak ada;135356
2021-04-22;JAWA BARAT;Tidak ada;136035
2021-04-23;JAWA BARAT;Tidak ada;136568
2021-04-24;JAWA BARAT;Tidak ada;136883
2021-04-25;JAWA BARAT;Tidak ada;137224
2021-04-26;JAWA BARAT;Tidak ada;138195
2021-04-27;JAWA BARAT;Tidak ada;138777
2021-04-30;JAWA BARAT;Tidak ada;140603
2021-05-01;JAWA BARAT;Tidak ada;140980
2021-05-02;JAWA BARAT;Tidak ada;141316
2021-05-04;JAWA BARAT;Tidak ada;142418
2021-05-06;JAWA BARAT;Tidak ada;143434
2021-05-08;JAWA BARAT;Tidak ada;145515
2021-05-10;JAWA BARAT;Tidak ada;146296
2021-05-13;JAWA BARAT;Tidak ada;147590
2021-05-14;JAWA BARAT;Tidak ada;147895
2021-05-16;JAWA BARAT;Tidak ada;148652
2021-05-19;JAWA BARAT;Tidak ada;150502
2021-05-25;JAWA BARAT;Tidak ada;153916
2021-05-26;JAWA BARAT;Tidak ada;154246
2021-05-29;JAWA BARAT;Tidak ada;155997
2021-05-31;JAWA BARAT;Tidak ada;156975
2021-06-02;JAWA BARAT;Tidak ada;157886
2021-06-10;JAWA BARAT;Tidak ada;162760
2021-06-12;JAWA BARAT;Tidak ada;163849
2021-06-13;JAWA BARAT;Tidak ada;164470
2021-03-24;JAWA TENGAH;Tidak ada;83134
2021-03-28;JAWA TENGAH;Tidak ada;83638
2021-04-07;JAWA TENGAH;Tidak ada;85935
2021-04-12;JAWA TENGAH;Tidak ada;87229
2021-04-15;JAWA TENGAH;Tidak ada;88437
2021-04-16;JAWA TENGAH;Tidak ada;88771
2021-04-17;JAWA TENGAH;Tidak ada;89030
2021-04-18;JAWA TENGAH;Tidak ada;89228
2021-04-19;JAWA TENGAH;Tidak ada;89568
2021-04-20;JAWA TENGAH;Tidak ada;89908
2021-04-21;JAWA TENGAH;Tidak ada;90245
2021-04-22;JAWA TENGAH;Tidak ada;90545
2021-04-23;JAWA TENGAH;Tidak ada;90732
2021-04-24;JAWA TENGAH;Tidak ada;90890
2021-04-25;JAWA TENGAH;Tidak ada;91014
2021-04-26;JAWA TENGAH;Tidak ada;91337
2021-04-27;JAWA TENGAH;Tidak ada;91514
2021-04-30;JAWA TENGAH;Tidak ada;92122
2021-05-01;JAWA TENGAH;Tidak ada;92221
2021-05-02;JAWA TENGAH;Tidak ada;92310
2021-05-04;JAWA TENGAH;Tidak ada;92763
2021-05-06;JAWA TENGAH;Tidak ada;93205
2021-05-08;JAWA TENGAH;Tidak ada;93537
2021-05-10;JAWA TENGAH;Tidak ada;94033
2021-05-13;JAWA TENGAH;Tidak ada;94597
2021-05-14;JAWA TENGAH;Tidak ada;94678
2021-05-16;JAWA TENGAH;Tidak ada;94975
2021-05-19;JAWA TENGAH;Tidak ada;95794
2021-05-25;JAWA TENGAH;Tidak ada;97619
2021-05-26;JAWA TENGAH;Tidak ada;97893
2021-05-29;JAWA TENGAH;Tidak ada;99099
2021-05-31;JAWA TENGAH;Tidak ada;100043
2021-06-02;JAWA TENGAH;Tidak ada;100838
2021-06-10;JAWA TENGAH;Tidak ada;105582
2021-06-12;JAWA TENGAH;Tidak ada;106553
2021-06-13;JAWA TENGAH;Tidak ada;107842
2021-03-24;JAWA TIMUR;Tidak ada;68739
2021-03-28;JAWA TIMUR;Tidak ada;69353
2021-04-07;JAWA TIMUR;Tidak ada;70707
2021-04-12;JAWA TIMUR;Tidak ada;71398
2021-04-15;JAWA TIMUR;Tidak ada;71805
2021-04-16;JAWA TIMUR;Tidak ada;71950
2021-04-17;JAWA TIMUR;Tidak ada;72093
2021-04-18;JAWA TIMUR;Tidak ada;72213
2021-04-19;JAWA TIMUR;Tidak ada;72339
2021-04-20;JAWA TIMUR;Tidak ada;72469
2021-04-21;JAWA TIMUR;Tidak ada;72620
2021-04-22;JAWA TIMUR;Tidak ada;72766
2021-04-23;JAWA TIMUR;Tidak ada;72916
2021-04-24;JAWA TIMUR;Tidak ada;73044
2021-04-25;JAWA TIMUR;Tidak ada;73162
2021-04-26;JAWA TIMUR;Tidak ada;73286
