"Tanggal","Provinsi","Jenis Kelamin","Jumlah"
"2021-05-14","KALIMANTAN BARAT","laki-laki",4547
"2021-05-16","KALIMANTAN BARAT","laki-laki",4622
"2021-05-19","KALIMANTAN BARAT","laki-laki",4771
"2021-05-25","KALIMANTAN BARAT","laki-laki",5064
"2021-05-26","KALIMANTAN BARAT","laki-laki",5121
"2021-05-29","KALIMANTAN BARAT","laki-laki",5260
"2021-05-31","KALIMANTAN BARAT","laki-laki",5335
"2021-06-02","KALIMANTAN BARAT","laki-laki",5427
"2021-06-10","KALIMANTAN BARAT","laki-laki",5814
"2021-06-12","KALIMANTAN BARAT","laki-laki",5947
"2021-06-13","KALIMANTAN BARAT","laki-laki",6014
"2021-03-24","KALIMANTAN SELATAN","laki-laki",13220
"2021-03-28","KALIMANTAN SELATAN","laki-laki",13706
"2021-04-07","KALIMANTAN SELATAN","laki-laki",14751
"2021-04-12","KALIMANTAN SELATAN","laki-laki",15314
"2021-04-15","KALIMANTAN SELATAN","laki-laki",15595
"2021-04-16","KALIMANTAN SELATAN","laki-laki",15672
"2021-04-17","KALIMANTAN SELATAN","laki-laki",15753
"2021-04-18","KALIMANTAN SELATAN","laki-laki",15846
"2021-04-19","KALIMANTAN SELATAN","laki-laki",15862
"2021-04-20","KALIMANTAN SELATAN","laki-laki",15936
"2021-04-21","KALIMANTAN SELATAN","laki-laki",15980
"2021-04-22","KALIMANTAN SELATAN","laki-laki",16083
"2021-04-23","KALIMANTAN SELATAN","laki-laki",16161
"2021-04-24","KALIMANTAN SELATAN","laki-laki",16247
"2021-04-25","KALIMANTAN SELATAN","laki-laki",16274
"2021-04-26","KALIMANTAN SELATAN","laki-laki",16284
"2021-04-27","KALIMANTAN SELATAN","laki-laki",16330
"2021-04-30","KALIMANTAN SELATAN","laki-laki",16510
"2021-05-01","KALIMANTAN SELATAN","laki-laki",16549
"2021-05-02","KALIMANTAN SELATAN","laki-laki",16556
"2021-05-04","KALIMANTAN SELATAN","laki-laki",16605
"2021-05-06","KALIMANTAN SELATAN","laki-laki",16697
"2021-05-08","KALIMANTAN SELATAN","laki-laki",16813
"2021-05-10","KALIMANTAN SELATAN","laki-laki",16850
"2021-05-13","KALIMANTAN SELATAN","laki-laki",16925
"2021-05-14","KALIMANTAN SELATAN","laki-laki",16932
"2021-05-16","KALIMANTAN SELATAN","laki-laki",16949
"2021-05-19","KALIMANTAN SELATAN","laki-laki",17015
"2021-05-25","KALIMANTAN SELATAN","laki-laki",17200
"2021-05-26","KALIMANTAN SELATAN","laki-laki",17234
"2021-05-29","KALIMANTAN SELATAN","laki-laki",17326
"2021-05-31","KALIMANTAN SELATAN","laki-laki",17373
"2021-06-02","KALIMANTAN SELATAN","laki-laki",17397
"2021-06-10","KALIMANTAN SELATAN","laki-laki",17570
"2021-06-12","KALIMANTAN SELATAN","laki-laki",17600
"2021-06-13","KALIMANTAN SELATAN","laki-laki",17616
"2021-03-24","KALIMANTAN TENGAH","laki-laki",8159
"2021-03-28","KALIMANTAN TENGAH","laki-laki",8403
"2021-04-07","KALIMANTAN TENGAH","laki-laki",8888
"2021-04-12","KALIMANTAN TENGAH","laki-laki",9143
"2021-04-15","KALIMANTAN TENGAH","laki-laki",9275
"2021-04-16","KALIMANTAN TENGAH","laki-laki",9335
"2021-04-17","KALIMANTAN TENGAH","laki-laki",9399
"2021-04-18","KALIMANTAN TENGAH","laki-laki",9449
"2021-04-19","KALIMANTAN TENGAH","laki-laki",9484
"2021-04-20","KALIMANTAN TENGAH","laki-laki",9563
"2021-04-21","KALIMANTAN TENGAH","laki-laki",9607
"2021-04-22","KALIMANTAN TENGAH","laki-laki",9643
"2021-04-23","KALIMANTAN TENGAH","laki-laki",9681
"2021-04-24","KALIMANTAN TENGAH","laki-laki",9732
"2021-04-25","KALIMANTAN TENGAH","laki-laki",9773
"2021-04-26","KALIMANTAN TENGAH","laki-laki",9822
"2021-04-27","KALIMANTAN TENGAH","laki-laki",9843
"2021-04-30","KALIMANTAN TENGAH","laki-laki",9973
"2021-05-01","KALIMANTAN TENGAH","laki-laki",10017
"2021-05-02","KALIMANTAN TENGAH","laki-laki",10043
"2021-05-04","KALIMANTAN TENGAH","laki-laki",10124
"2021-05-06","KALIMANTAN TENGAH","laki-laki",10216
"2021-05-08","KALIMANTAN TENGAH","laki-laki",10326
"2021-05-10","KALIMANTAN TENGAH","laki-laki",10407
"2021-05-13","KALIMANTAN TENGAH","laki-laki",10520
"2021-05-14","KALIMANTAN TENGAH","laki-laki",10556
"2021-05-16","KALIMANTAN TENGAH","laki-laki",10588
"2021-05-19","KALIMANTAN TENGAH","laki-laki",10704
"2021-05-25","KALIMANTAN TENGAH","laki-laki",10955
"2021-05-26","KALIMANTAN TENGAH","laki-laki",10997
"2021-05-29","KALIMANTAN TENGAH","laki-laki",11150
"2021-05-31","KALIMANTAN TENGAH","laki-laki",11228
"2021-06-02","KALIMANTAN TENGAH","laki-laki",11293
"2021-06-10","KALIMANTAN TENGAH","laki-laki",11659
"2021-06-12","KALIMANTAN TENGAH","laki-laki",11755
"2021-06-13","KALIMANTAN TENGAH","laki-laki",11800
"2021-03-24","KALIMANTAN TIMUR","laki-laki",36288
"2021-03-28","KALIMANTAN TIMUR","laki-laki",36843
"2021-04-07","KALIMANTAN TIMUR","laki-laki",37912
"2021-04-12","KALIMANTAN TIMUR","laki-laki",38410
"2021-04-15","KALIMANTAN TIMUR","laki-laki",38729
"2021-04-16","KALIMANTAN TIMUR","laki-laki",38809
"2021-04-17","KALIMANTAN TIMUR","laki-laki",38925
"2021-04-18","KALIMANTAN TIMUR","laki-laki",39032
"2021-04-19","KALIMANTAN TIMUR","laki-laki",39095
"2021-04-20","KALIMANTAN TIMUR","laki-laki",39186
"2021-04-21","KALIMANTAN TIMUR","laki-laki",39311
"2021-04-22","KALIMANTAN TIMUR","laki-laki",39410
