"Tanggal","Provinsi","Rentang Usia","Jumlah"
"2021-04-15","JAWA BARAT","0-5",8794
"2021-04-16","JAWA BARAT","0-5",8833
"2021-04-17","JAWA BARAT","0-5",8861
"2021-04-18","JAWA BARAT","0-5",8878
"2021-04-19","JAWA BARAT","0-5",8929
"2021-04-20","JAWA BARAT","0-5",8961
"2021-04-21","JAWA BARAT","0-5",8997
"2021-04-22","JAWA BARAT","0-5",9033
"2021-04-23","JAWA BARAT","0-5",9069
"2021-04-24","JAWA BARAT","0-5",9094
"2021-04-25","JAWA BARAT","0-5",9111
"2021-04-26","JAWA BARAT","0-5",9193
"2021-04-27","JAWA BARAT","0-5",9222
"2021-04-30","JAWA BARAT","0-5",9351
"2021-05-01","JAWA BARAT","0-5",9373
"2021-05-02","JAWA BARAT","0-5",9396
"2021-05-04","JAWA BARAT","0-5",9467
"2021-05-06","JAWA BARAT","0-5",9529
"2021-05-08","JAWA BARAT","0-5",9687
"2021-05-10","JAWA BARAT","0-5",9743
"2021-05-13","JAWA BARAT","0-5",9812
"2021-05-14","JAWA BARAT","0-5",9833
"2021-05-16","JAWA BARAT","0-5",9894
"2021-05-19","JAWA BARAT","0-5",10003
"2021-05-25","JAWA BARAT","0-5",10209
"2021-05-26","JAWA BARAT","0-5",10229
"2021-05-29","JAWA BARAT","0-5",10380
"2021-05-31","JAWA BARAT","0-5",10460
"2021-06-02","JAWA BARAT","0-5",10521
"2021-06-10","JAWA BARAT","0-5",10869
"2021-06-12","JAWA BARAT","0-5",10941
"2021-06-13","JAWA BARAT","0-5",10983
"2021-03-24","JAWA TENGAH","0-5",4730
"2021-03-28","JAWA TENGAH","0-5",4755
"2021-04-07","JAWA TENGAH","0-5",4875
"2021-04-12","JAWA TENGAH","0-5",4952
"2021-04-15","JAWA TENGAH","0-5",5026
"2021-04-16","JAWA TENGAH","0-5",5049
"2021-04-17","JAWA TENGAH","0-5",5068
"2021-04-18","JAWA TENGAH","0-5",5076
"2021-04-19","JAWA TENGAH","0-5",5086
"2021-04-20","JAWA TENGAH","0-5",5114
"2021-04-21","JAWA TENGAH","0-5",5127
"2021-04-22","JAWA TENGAH","0-5",5143
"2021-04-23","JAWA TENGAH","0-5",5148
"2021-04-24","JAWA TENGAH","0-5",5155
"2021-04-25","JAWA TENGAH","0-5",5159
"2021-04-26","JAWA TENGAH","0-5",5176
"2021-04-27","JAWA TENGAH","0-5",5186
"2021-04-30","JAWA TENGAH","0-5",5228
"2021-05-01","JAWA TENGAH","0-5",5234
"2021-05-02","JAWA TENGAH","0-5",5238
